idx,epoch,http_code,time_total_sec
1,1770913075,200,15.398177
2,1770913090,200,13.465505
3,1770913105,200,13.889308
4,1770913119,200,13.381424
5,1770913132,200,11.998624
6,1770913152,200,17.956521
7,1770913172,200,17.468506
8,1770913191,200,17.222541
9,1770913204,200,11.966113
10,1770913235,200,30.398336
