time,received,sent
2026-02-13 19:38:05,0,0
2026-02-13 19:38:00,0,0
2026-02-13 19:37:55,0,0
2026-02-13 19:37:50,0,0
2026-02-13 19:37:45,0,0
2026-02-13 19:37:40,0,0
2026-02-13 19:37:35,0,0
2026-02-13 19:37:30,0,0
2026-02-13 19:37:25,0,0
2026-02-13 19:37:20,0,0
2026-02-13 19:37:15,0,0
2026-02-13 19:37:10,0,0
2026-02-13 19:37:05,0,0
2026-02-13 19:37:00,0,0
2026-02-13 19:36:55,0,0
2026-02-13 19:36:50,0,0
2026-02-13 19:36:45,0,0
2026-02-13 19:36:40,0,0
2026-02-13 19:36:35,0,0
2026-02-13 19:36:30,0,0
2026-02-13 19:36:25,0,0
2026-02-13 19:36:20,0,0
2026-02-13 19:36:15,0,0
2026-02-13 19:36:10,0,0
2026-02-13 19:36:05,0,0
2026-02-13 19:36:00,0,0
2026-02-13 19:35:55,0,0
2026-02-13 19:35:50,0,0
2026-02-13 19:35:45,0,0
2026-02-13 19:35:40,0,0
2026-02-13 19:35:35,0,0
2026-02-13 19:35:30,0,0
2026-02-13 19:35:25,0,0
2026-02-13 19:35:20,0,0
2026-02-13 19:35:15,0,0
2026-02-13 19:35:10,0,0
2026-02-13 19:35:05,0,0
2026-02-13 19:35:00,0,0
2026-02-13 19:34:55,0,0
2026-02-13 19:34:50,0,0
2026-02-13 19:34:45,0,0
2026-02-13 19:34:40,0,0
2026-02-13 19:34:35,0,0
2026-02-13 19:34:30,0,0
2026-02-13 19:34:25,0,0
2026-02-13 19:34:20,0,0
2026-02-13 19:34:15,0,0
2026-02-13 19:34:10,0,0
2026-02-13 19:34:05,0,0
2026-02-13 19:34:00,0,0
2026-02-13 19:33:55,0,0
2026-02-13 19:33:50,0,0
2026-02-13 19:33:45,0,0
2026-02-13 19:33:40,0,0
2026-02-13 19:33:35,0,0
2026-02-13 19:33:30,0,0
2026-02-13 19:33:25,0,0
2026-02-13 19:33:20,0,0
2026-02-13 19:33:15,0,0
2026-02-13 19:33:10,0,0
