time,free,used,cached,buffers
2026-02-13 19:38:05,2862.904,1307.68126,3324.7192,317.043
2026-02-13 19:38:00,2859.7716,1310.79842,3324.734,317.043
2026-02-13 19:37:55,2860.2938,1310.27812,3324.734,317.04144
2026-02-13 19:37:50,2861.1406,1309.43124,3324.7364,317.0391
2026-02-13 19:37:45,2862.404,1308.17892,3324.726,317.0391
2026-02-13 19:37:40,2862.7276,1307.86094,3324.7206,317.0391
2026-02-13 19:37:35,2862.0204,1308.57498,3324.7134,317.0391
2026-02-13 19:37:30,2859.0586,1311.53906,3324.711,317.0391
2026-02-13 19:37:25,2862.0834,1308.52344,3324.7014,317.0391
2026-02-13 19:37:20,2862.6764,1307.93438,3324.6974,317.0391
2026-02-13 19:37:15,2865.2718,1305.33828,3324.6982,317.0391
2026-02-13 19:37:10,2865.6826,1304.93048,3324.695,317.0391
2026-02-13 19:37:05,2865.2916,1305.32422,3324.6926,317.0391
2026-02-13 19:37:00,2865.7014,1304.91328,3324.6934,317.0391
2026-02-13 19:36:55,2865.0204,1305.59452,3324.6934,317.0391
2026-02-13 19:36:50,2865.7164,1304.90312,3324.6892,317.0391
2026-02-13 19:36:45,2865.1876,1305.43672,3324.688,317.03598
2026-02-13 19:36:40,2867.6936,1302.93126,3324.688,317.0352
2026-02-13 19:36:35,2868.3102,1302.31562,3324.6872,317.0352
2026-02-13 19:36:30,2865.8696,1304.76016,3324.6832,317.0352
2026-02-13 19:36:25,2865.0428,1305.58984,3324.68,317.0352
2026-02-13 19:36:20,2863.2016,1307.57578,3324.539,317.0312
2026-02-13 19:36:15,2863.3468,1307.43204,3324.5382,317.03042
2026-02-13 19:36:10,2863.682,1307.09922,3324.539,317.0273
2026-02-13 19:36:05,2864.168,1306.61328,3324.539,317.0273
2026-02-13 19:36:00,2862.711,1308.07032,3324.539,317.0273
2026-02-13 19:35:55,2864.7696,1306.01484,3324.5358,317.0273
2026-02-13 19:35:50,2864.5422,1306.2586,3324.523,317.0234
2026-02-13 19:35:45,2864.9304,1305.8703,3324.523,317.0234
2026-02-13 19:35:40,2864.5806,1306.21716,3324.5262,317.0234
2026-02-13 19:35:35,2862.9306,1307.87266,3324.5214,317.0234
2026-02-13 19:35:30,2863.7694,1307.03904,3324.516,317.0234
2026-02-13 19:35:25,2864.8944,1305.91406,3324.516,317.0234
2026-02-13 19:35:20,2864.9944,1305.81172,3324.5184,317.0234
2026-02-13 19:35:15,2866.2412,1304.56326,3324.52,317.0234
2026-02-13 19:35:10,2866.349,1304.46404,3324.5112,317.0234
2026-02-13 19:35:05,2865.3962,1305.42108,3324.5112,317.0195
2026-02-13 19:35:00,2865.165,1305.6586,3324.5048,317.0195
2026-02-13 19:34:55,2864.2818,1306.5422,3324.504,317.0195
2026-02-13 19:34:50,2865.2156,1305.54608,3324.5664,317.0195
2026-02-13 19:34:45,2865.082,1305.66404,3324.582,317.0195
2026-02-13 19:34:40,2867.1374,1303.60858,3324.582,317.0195
2026-02-13 19:34:35,2864.5352,1306.21094,3324.582,317.0195
2026-02-13 19:34:30,2864.2818,1306.47188,3324.574,317.0195
2026-02-13 19:34:25,2863.432,1307.32812,3324.5724,317.01482
2026-02-13 19:34:20,2863.9376,1306.82424,3324.574,317.0117
2026-02-13 19:34:15,2864.8142,1305.95078,3324.5732,317.00936
2026-02-13 19:34:10,2866.2,1304.56564,3324.574,317.0078
2026-02-13 19:34:05,2864.9502,1305.81718,3324.574,317.00624
2026-02-13 19:34:00,2865.1432,1305.62656,3324.574,317.0039
2026-02-13 19:33:55,2865.5774,1305.19608,3324.574,317
2026-02-13 19:33:50,2867.7364,1303.03046,3324.5804,317
2026-02-13 19:33:45,2869.0314,1301.73436,3324.582,317
2026-02-13 19:33:40,2868.7142,1302.05392,3324.5796,317
2026-02-13 19:33:35,2868.0202,1302.75156,3324.5772,316.99844
2026-02-13 19:33:30,2866.026,1304.75078,3324.5764,316.99454
2026-02-13 19:33:25,2868.217,1302.56408,3324.574,316.9922
2026-02-13 19:33:20,2869.785,1301.00782,3324.5626,316.9922
2026-02-13 19:33:15,2871.196,1299.60468,3324.555,316.9922
2026-02-13 19:33:10,2874.5922,1296.20858,3324.555,316.9922
