time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2026-02-13 19:38:05,0,0,0,0.1007582,0,4.9637654,4.1024596,0,0.0510204
2026-02-13 19:38:00,0,0,0,0.0501253,0,4.9553394,4.3988694,0,0
2026-02-13 19:37:55,0,0,0,0.1521571,0,4.7152072,3.904559,0,0.0507614
2026-02-13 19:37:50,0,0,0,0.0510204,0,4.2580896,4.5640846,0,0
2026-02-13 19:37:45,0,0,0,0.0501253,0,4.5006944,4.6024742,0,0.0507614
2026-02-13 19:37:40,0,0,0,0.151138,0,4.2938692,3.7888014,0,0
2026-02-13 19:37:35,0,0,0,0.0506329,0,5.5497166,4.5306948,0,0.1522862
2026-02-13 19:37:30,0,0,0,0.1517846,0,5.1529442,4.5995568,0,0.4615384
2026-02-13 19:37:25,0,0,0,0.1012665,0,5.8470592,4.9825518,0,0.0510204
2026-02-13 19:37:20,0,0,0,0.1008842,0,10.7027696,4.5350836,0,0.9583271
2026-02-13 19:37:15,0,0,0,0.1012717,0,4.8476572,4.243128,0,0
2026-02-13 19:37:10,0,0,0,0.2017735,0,5.7940538,4.6411684,0,0.0506329
2026-02-13 19:37:05,0,0,0,0.1515171,0,5.0473626,4.2413148,0,0.0506329
2026-02-13 19:37:00,0,0,0,0.1520272,0,4.976314,4.0622196,0,0.0508906
2026-02-13 19:36:55,0,0,0,0.101138,0,4.790019,4.6350676,0,0.0501253
2026-02-13 19:36:50,0,0,0,0.0511509,0,4.9024726,3.5385216,0,0
2026-02-13 19:36:45,0,0,0,0.0502513,0,5.5221036,5.0675382,0,0
2026-02-13 19:36:40,0,0,0,0.0503778,0,5.293885,4.2369528,0,0.0503778
2026-02-13 19:36:35,0,0,0,0.0505051,0,5.0032558,4.4972642,0,0.0505051
2026-02-13 19:36:30,0,0,0,0.1005051,0,4.838174,4.6871486,0,0.0505051
2026-02-13 19:36:25,0,0,0,0.1521564,0,6.2221856,4.6570076,0,9.8284528
2026-02-13 19:36:20,0,0,0,0.1010108,0,4.708598,4.6110456,0,45.4035144
2026-02-13 19:36:15,0,0,0,0.2016424,0,5.6968504,5.1421746,0,5.7089382
2026-02-13 19:36:10,0,0,0,0.1530632,0,5.4167318,4.2557424,0,0
2026-02-13 19:36:05,0,0,0,0.0512821,0,5.2771456,4.6662934,0,0.0512821
2026-02-13 19:36:00,0,0,0,0.1011393,0,4.7479044,3.8880344,0,0.6549118
2026-02-13 19:35:55,0,0,0,0,0,4.5609456,3.7001864,0,0.0506329
2026-02-13 19:35:50,0,0,0,0.1512639,0,5.7531116,4.4919894,0,0
2026-02-13 19:35:45,0,0,0,0.1010101,0,4.7940588,3.7863506,0,0.0505051
2026-02-13 19:35:40,0,0,0,0.0506329,0,4.975275,4.773521,0,0
2026-02-13 19:35:35,0,0,0,0.1507544,0,5.4457498,4.9929788,0,0.0503778
2026-02-13 19:35:30,0,0,0,0.1010127,0,6.0120012,4.7538116,0,0.0506329
2026-02-13 19:35:25,0,0,0,0.1011393,0,5.0985082,4.2918244,0,0.0506329
2026-02-13 19:35:20,0,0,0,0.1014022,0,7.9680574,4.2476996,0,0.2525253
2026-02-13 19:35:15,0,0,0,0.0506329,0,4.3660808,3.705139,0,0
2026-02-13 19:35:10,0,0,0,0.1520377,0,6.0479506,5.0798134,0,0.0505051
2026-02-13 19:35:05,0,0,0,0,0,4.7632718,4.613425,0,0
2026-02-13 19:35:00,0,0,0,0.201519,0,5.0455208,4.0894852,0,0.0505051
2026-02-13 19:34:55,0,0,0,0.0501253,0,4.9266618,4.424146,0,0
2026-02-13 19:34:50,0,0,0,0.0503778,0,5.167345,4.2083792,0,0.0503778
2026-02-13 19:34:45,0,0,0,0.1016533,0,5.174281,4.4130938,0,0.0507614
2026-02-13 19:34:40,0,0,0,0.1511457,0,4.9506168,4.0965632,0,0.4587961
2026-02-13 19:34:35,0,0,0,0.1012665,0,5.1743604,4.56573,0,0
2026-02-13 19:34:30,0,0,0,0.1010127,0,4.927181,4.2173874,0,0
2026-02-13 19:34:25,0,0,0,0.0503778,0,5.2530332,3.6879736,0,0
2026-02-13 19:34:20,0,0,0,0.1528121,0,5.1425438,4.3293388,0,0.0503778
2026-02-13 19:34:15,0,0,0,0.1510159,0,4.8831854,3.6229184,0,0.0505051
2026-02-13 19:34:10,0,0,0,0.1011457,0,6.4580048,4.7684736,0,0.0507614
2026-02-13 19:34:05,0,0,0,0.1011393,0,5.0065948,3.741391,0,0.0503778
2026-02-13 19:34:00,0,0,0,0.1015235,0,5.211517,4.4512288,0,0.0506329
2026-02-13 19:33:55,0,0,0,0.0506329,0,5.2556092,4.043737,0,0
2026-02-13 19:33:50,0,0,0,0.1513879,0,5.2072852,3.9937552,0,0.0505051
2026-02-13 19:33:45,0,0,0,0.101915,0,4.8288406,3.6072738,0,0
2026-02-13 19:33:40,0,0,0,0.1015235,0,4.7599922,3.9484258,0,0.1010101
2026-02-13 19:33:35,0,0,0,0.1512717,0,5.2939718,4.2373892,0,0.45
2026-02-13 19:33:30,0,0,0,0.1507538,0,4.9946676,4.5396036,0,0
2026-02-13 19:33:25,0,0,0,0.0503778,0,5.0629984,4.2031176,0,0.0507614
2026-02-13 19:33:20,0,0,0,0.0505051,0,8.2459106,4.0009228,0,0.0507614
2026-02-13 19:33:15,0,0,0,0.0505051,0,4.656422,3.4899088,0,0.0503778
2026-02-13 19:33:10,0,0,0,0.0502513,0,6.1467646,3.9549164,0,0
