time,free,used,cached,buffers
2026-02-13 19:59:25,2872.179,1296.91874,3326.098,317.1523
2026-02-13 19:59:20,2871.5452,1297.55312,3326.0972,317.1523
2026-02-13 19:59:15,2871.5048,1297.59686,3326.094,317.1523
2026-02-13 19:59:10,2870.2916,1298.81248,3326.0916,317.1523
2026-02-13 19:59:05,2872.5752,1296.58438,3326.036,317.1523
2026-02-13 19:59:00,2869.6564,1299.53908,3326,317.1523
2026-02-13 19:58:55,2869.7346,1299.47422,3325.9866,317.1523
2026-02-13 19:58:50,2870.3072,1298.9117,3325.98,317.1484
2026-02-13 19:58:45,2871.2366,1297.98358,3325.9788,317.1484
2026-02-13 19:58:40,2873.3226,1295.9,3325.977,317.1484
2026-02-13 19:58:35,2872.9882,1296.2453,3325.9674,317.14684
2026-02-13 19:58:30,2871.796,1297.45546,3325.953,317.14294
2026-02-13 19:58:25,2871.2102,1298.04532,3325.9514,317.1406
2026-02-13 19:58:20,2870.6266,1298.63126,3325.949,317.1406
2026-02-13 19:58:15,2872.1164,1297.1414,3325.949,317.1406
2026-02-13 19:58:10,2875.5562,1293.70156,3325.949,317.1406
2026-02-13 19:58:05,2877.9274,1291.3305,3325.949,317.1406
2026-02-13 19:58:00,2876.5992,1292.65858,3325.949,317.1406
2026-02-13 19:57:55,2876.9178,1292.33986,3325.949,317.1406
2026-02-13 19:57:50,2877.442,1291.81562,3325.949,317.1406
2026-02-13 19:57:45,2875.7804,1293.47734,3325.949,317.1406
2026-02-13 19:57:40,2875.6008,1293.65704,3325.949,317.1406
2026-02-13 19:57:35,2876.4126,1292.85158,3325.9426,317.1406
2026-02-13 19:57:30,2877.0342,1292.23126,3325.941,317.1406
2026-02-13 19:57:25,2875.4088,1293.85702,3325.941,317.1406
2026-02-13 19:57:20,2878.7,1290.5656,3325.941,317.1406
2026-02-13 19:57:15,2880.4702,1288.79534,3325.941,317.1406
2026-02-13 19:57:10,2880.9532,1288.3164,3325.938,317.1406
2026-02-13 19:57:05,2880.2314,1289.03826,3325.938,317.1406
2026-02-13 19:57:00,2880.5252,1288.74844,3325.934,317.1406
2026-02-13 19:56:55,2878.8734,1290.4,3325.934,317.1406
2026-02-13 19:56:50,2879.8938,1289.3797,3325.934,317.1406
2026-02-13 19:56:45,2880.9336,1288.34296,3325.934,317.13748
2026-02-13 19:56:40,2879.8764,1289.40078,3325.934,317.1367
2026-02-13 19:56:35,2879.0572,1290.29686,3325.8574,317.1367
2026-02-13 19:56:30,2877.7248,1291.68594,3325.801,317.13592
2026-02-13 19:56:25,2871.9924,1297.42186,3325.801,317.1328
2026-02-13 19:56:20,2871.4406,1297.98908,3325.785,317.1328
2026-02-13 19:56:15,2870.9056,1298.52578,3325.785,317.13124
2026-02-13 19:56:10,2871.8866,1297.54686,3325.785,317.1289
2026-02-13 19:56:05,2870.4338,1298.99998,3325.785,317.1289
2026-02-13 19:56:00,2871.6728,1297.76096,3325.785,317.1289
2026-02-13 19:55:55,2872.6422,1296.79142,3325.785,317.1289
2026-02-13 19:55:50,2872.503,1296.93672,3325.7786,317.1289
2026-02-13 19:55:45,2871.2804,1298.16248,3325.777,317.12734
2026-02-13 19:55:40,2872.8148,1296.63046,3325.777,317.125
2026-02-13 19:55:35,2874.0376,1295.40784,3325.777,317.125
2026-02-13 19:55:30,2873.6932,1295.75938,3325.7706,317.125
2026-02-13 19:55:25,2873.0422,1296.41094,3325.77,317.125
2026-02-13 19:55:20,2873.626,1295.82736,3325.77,317.125
2026-02-13 19:55:15,2873.6022,1295.85078,3325.77,317.125
2026-02-13 19:55:10,2872.288,1297.16484,3325.77,317.125
2026-02-13 19:55:05,2873.5586,1295.89454,3325.77,317.125
2026-02-13 19:55:00,2874.8562,1294.59686,3325.77,317.125
2026-02-13 19:54:55,2877.3212,1292.13204,3325.77,317.125
2026-02-13 19:54:50,2875.7978,1293.65548,3325.77,317.125
2026-02-13 19:54:45,2877.1212,1292.33202,3325.77,317.125
2026-02-13 19:54:40,2877.468,1291.9875,3325.7676,317.125
2026-02-13 19:54:35,2878.1434,1291.3164,3325.7628,317.125
2026-02-13 19:54:30,2878.3462,1291.11484,3325.762,317.125
