worker,tcp_mean_mbps,tcp_peak_mbps,ping_mean_ms,ping_p95_ms,loss_pct
pi03,371.8879931258383,387.97080751378354,0.9971,1.2995000000000005,0.0
pi04,358.044626501229,387.9719637534459,1.0684,1.4745000000000004,0.0
yhsensorpi,284.575814847018,325.0432932170573,1.4745,2.001000000000001,0.0
