seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771587231718,1771587233263,1545,200,1.505265,1485
2,1,1771587234373,1771587238707,4334,200,4.292664,4264
3,2,1771587239804,1771587240984,1180,200,1.123567,1100
4,3,1771587242109,1771587246445,4336,200,4.292938,4271
5,4,1771587247545,1771587252164,4619,200,4.578190,4555
6,5,1771587253269,1771587257840,4571,200,4.533023,4490
7,6,1771587258972,1771587263632,4660,200,4.611860,4592
8,7,1771587264733,1771587269740,5007,200,4.965289,4944
9,8,1771587270840,1771587276799,5959,200,5.916374,5885
10,9,1771587277910,1771587283979,6069,200,6.028023,6002
