seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771586037577,1771586039115,1538,200,1.497596,1477
2,1,1771586040215,1771586044539,4324,200,4.282510,4259
3,2,1771586045637,1771586046806,1169,200,1.109264,1094
4,3,1771586047910,1771586052219,4309,200,4.265705,4233
5,4,1771586053322,1771586058052,4730,200,4.687779,4583
6,5,1771586059209,1771586063701,4492,200,4.445202,4415
7,6,1771586064800,1771586069476,4676,200,4.636591,4587
8,7,1771586070577,1771586075220,4643,200,4.599750,4579
9,8,1771586076321,1771586082283,5962,200,5.919625,5883
10,9,1771586083392,1771586089489,6097,200,6.057882,6019
