seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771587533592,1771587538105,4513,200,4.446697,4358
2,1,1771587539205,1771587554359,15154,200,15.106360,15077
3,2,1771587555461,1771587563430,7969,200,7.690056,3296
4,3,1771587564527,1771587582662,18135,200,18.054146,17939
5,4,1771587583760,1771587602347,18587,200,18.540930,18503
6,5,1771587603450,1771587621818,18368,200,18.329109,18301
7,6,1771587622918,1771587643551,20633,200,20.594094,20494
8,7,1771587644651,1771587665414,20763,200,20.723727,20680
9,8,1771587666516,1771587691782,25266,200,25.223503,25101
10,9,1771587692883,1771587719710,26827,200,26.787872,26627
