seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771586930588,1771586932082,1494,200,1.453345,1435
2,1,1771586933218,1771586937330,4112,200,4.068411,4047
3,2,1771586938438,1771586939562,1124,200,1.085098,1064
4,3,1771586940659,1771586944763,4104,200,4.064227,4041
5,4,1771586945862,1771586950265,4403,200,4.362823,4340
6,5,1771586951377,1771586955677,4300,200,4.260844,4201
7,6,1771586956782,1771586961270,4488,200,4.445975,4373
8,7,1771586962379,1771586966838,4459,200,4.416266,4381
9,8,1771586967939,1771586973368,5429,200,5.385807,5330
10,9,1771586974471,1771586980362,5891,200,5.848219,5826
