seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771588132374,1771588133957,1583,200,1.542845,1493
2,1,1771588135073,1771588139435,4362,200,4.318425,4284
3,2,1771588140537,1771588141717,1180,200,1.140724,1102
4,3,1771588142817,1771588147191,4374,200,4.331156,4268
5,4,1771588148295,1771588152937,4642,200,4.600008,4565
6,5,1771588154047,1771588158659,4612,200,4.569110,4467
7,6,1771588159802,1771588164470,4668,200,4.624481,4593
8,7,1771588165567,1771588170245,4678,200,4.638742,4598
9,8,1771588171347,1771588176989,5642,200,5.597074,5553
10,9,1771588178120,1771588183858,5738,200,5.698985,5657
