seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771588445426,1771588450755,5329,200,5.290751,5265
2,1,1771588451854,1771588468482,16628,200,16.587955,16571
3,2,1771588469582,1771588473536,3954,200,3.913750,3880
4,3,1771588474641,1771588492479,17838,200,17.797657,17772
5,4,1771588493579,1771588512898,19319,200,19.278607,19260
6,5,1771588514004,1771588533916,19912,200,19.865209,19845
7,6,1771588535024,1771588556173,21149,200,21.105576,21075
8,7,1771588557344,1771588579013,21669,200,21.617945,21581
9,8,1771588580125,1771588607241,27116,200,27.076029,27058
10,9,1771588608361,1771588636275,27914,200,27.865808,27727
