seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771586328650,1771586330151,1501,200,1.461536,1436
2,1,1771586331257,1771586335382,4125,200,4.085341,4064
3,2,1771586336490,1771586337619,1129,200,1.088351,1068
4,3,1771586338720,1771586342853,4133,200,4.093108,4072
5,4,1771586343951,1771586348371,4420,200,4.375771,4352
6,5,1771586349471,1771586354126,4655,200,4.613360,4591
7,6,1771586355250,1771586360157,4907,200,4.868158,4762
8,7,1771586361261,1771586366068,4807,200,4.765159,4737
9,8,1771586367167,1771586372928,5761,200,5.720685,5698
10,9,1771586374055,1771586379601,5546,200,5.486456,5455
