seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771587831830,1771587833386,1556,200,1.505399,1484
2,1,1771587834484,1771587838606,4122,200,4.070878,4046
3,2,1771587839707,1771587840831,1124,200,1.083736,1063
4,3,1771587841931,1771587846048,4117,200,4.071434,4044
5,4,1771587847159,1771587851569,4410,200,4.370552,4317
6,5,1771587852671,1771587857062,4391,200,4.349033,4210
7,6,1771587858162,1771587862714,4552,200,4.504732,4374
8,7,1771587863813,1771587868257,4444,200,4.403946,4370
9,8,1771587869361,1771587874759,5398,200,5.355579,5330
10,9,1771587875860,1771587881364,5504,200,5.460979,5435
