time,received,sent
2026-02-13 20:04:45,0,0
2026-02-13 20:04:40,0,0
2026-02-13 20:04:35,0,0
2026-02-13 20:04:30,0,0
2026-02-13 20:04:25,0,0
2026-02-13 20:04:20,0,0
2026-02-13 20:04:15,0,0
2026-02-13 20:04:10,0,0
2026-02-13 20:04:05,0,0
2026-02-13 20:04:00,0,0
2026-02-13 20:03:55,0,0
2026-02-13 20:03:50,0,0
2026-02-13 20:03:45,0,0
2026-02-13 20:03:40,0,0
2026-02-13 20:03:35,0,0
2026-02-13 20:03:30,0,0
2026-02-13 20:03:25,0,0
2026-02-13 20:03:20,0,0
2026-02-13 20:03:15,0,0
2026-02-13 20:03:10,0,0
2026-02-13 20:03:05,0,0
2026-02-13 20:03:00,0,0
2026-02-13 20:02:55,0,0
2026-02-13 20:02:50,0,0
2026-02-13 20:02:45,0.3104,0
2026-02-13 20:02:40,0,0
2026-02-13 20:02:35,0,0
2026-02-13 20:02:30,0,0
2026-02-13 20:02:25,0,0
2026-02-13 20:02:20,0,0
2026-02-13 20:02:15,0,0
2026-02-13 20:02:10,0,0
2026-02-13 20:02:05,0,0
2026-02-13 20:02:00,0,0
2026-02-13 20:01:55,0,0
2026-02-13 20:01:50,0,0
2026-02-13 20:01:45,0,0
2026-02-13 20:01:40,0,0
2026-02-13 20:01:35,0,0
2026-02-13 20:01:30,0,0
2026-02-13 20:01:25,0,0
2026-02-13 20:01:20,0,0
2026-02-13 20:01:15,0,0
2026-02-13 20:01:10,0,0
2026-02-13 20:01:05,0,0
2026-02-13 20:01:00,0,0
2026-02-13 20:00:55,0,0
2026-02-13 20:00:50,0,0
2026-02-13 20:00:45,0,0
2026-02-13 20:00:40,0,0
2026-02-13 20:00:35,0,0
2026-02-13 20:00:30,0,0
2026-02-13 20:00:25,0,0
2026-02-13 20:00:20,0,0
2026-02-13 20:00:15,0,0
2026-02-13 20:00:10,0,0
2026-02-13 20:00:05,0,0
2026-02-13 20:00:00,0,0
2026-02-13 19:59:55,0,0
2026-02-13 19:59:50,0,0
