time,utilization
2026-02-13 20:04:45,3.2
2026-02-13 20:04:40,3
2026-02-13 20:04:35,1.6
2026-02-13 20:04:30,2.8
2026-02-13 20:04:25,0.4
2026-02-13 20:04:20,2
2026-02-13 20:04:15,0.2
2026-02-13 20:04:10,1.6
2026-02-13 20:04:05,1.2
2026-02-13 20:04:00,2
2026-02-13 20:03:55,0
2026-02-13 20:03:50,0.4
2026-02-13 20:03:45,2.2
2026-02-13 20:03:40,0.2
2026-02-13 20:03:35,3.2
2026-02-13 20:03:30,0.2
2026-02-13 20:03:25,2
2026-02-13 20:03:20,0.4
2026-02-13 20:03:15,0.6
2026-02-13 20:03:10,2.4
2026-02-13 20:03:05,2.4
2026-02-13 20:03:00,2.4
2026-02-13 20:02:55,0.2
2026-02-13 20:02:50,1.8
2026-02-13 20:02:45,1.6
2026-02-13 20:02:40,4.4
2026-02-13 20:02:35,7
2026-02-13 20:02:30,0.4
2026-02-13 20:02:25,3.4
2026-02-13 20:02:20,0.6
2026-02-13 20:02:15,4.4
2026-02-13 20:02:10,0
2026-02-13 20:02:05,21
2026-02-13 20:02:00,23.6
2026-02-13 20:01:55,30.4
2026-02-13 20:01:50,27
2026-02-13 20:01:45,21.8
2026-02-13 20:01:40,1.6
2026-02-13 20:01:35,5
2026-02-13 20:01:30,1.2
2026-02-13 20:01:25,1.4
2026-02-13 20:01:20,2.4
2026-02-13 20:01:15,0.4
2026-02-13 20:01:10,2.2
2026-02-13 20:01:05,0
2026-02-13 20:01:00,2.2
2026-02-13 20:00:55,0
2026-02-13 20:00:50,28
2026-02-13 20:00:45,68
2026-02-13 20:00:40,78.8
2026-02-13 20:00:35,2
2026-02-13 20:00:30,0.8
2026-02-13 20:00:25,2
2026-02-13 20:00:20,0.2
2026-02-13 20:00:15,2.2
2026-02-13 20:00:10,0.4
2026-02-13 20:00:05,0.4
2026-02-13 20:00:00,3.8
2026-02-13 19:59:55,2.4
2026-02-13 19:59:50,2.2
