time,free,used,cached,buffers
2026-02-13 20:04:45,2871.1492,1297.40392,3326.6066,317.1875
2026-02-13 20:04:40,2871.2148,1297.34534,3326.6044,317.18282
2026-02-13 20:04:35,2868.24,1300.40002,3326.5282,317.1797
2026-02-13 20:04:30,2869.6406,1299.05078,3326.477,317.1797
2026-02-13 20:04:25,2869.6212,1299.07032,3326.477,317.1797
2026-02-13 20:04:20,2871.1646,1297.53046,3326.473,317.1797
2026-02-13 20:04:15,2869.9,1298.79612,3326.4722,317.1797
2026-02-13 20:04:10,2869.9548,1298.74452,3326.473,317.1758
2026-02-13 20:04:05,2870.298,1298.40158,3326.473,317.1758
2026-02-13 20:04:00,2872.092,1296.61094,3326.469,317.1758
2026-02-13 20:03:55,2874.7268,1293.97656,3326.469,317.1758
2026-02-13 20:03:50,2875.6328,1293.07032,3326.469,317.1758
2026-02-13 20:03:45,2875.8806,1292.82266,3326.469,317.1758
2026-02-13 20:03:40,2876.7,1292.0031,3326.469,317.1758
2026-02-13 20:03:35,2877.0548,1291.65236,3326.465,317.1758
2026-02-13 20:03:30,2876.5258,1292.18828,3326.4602,317.17346
2026-02-13 20:03:25,2877.3054,1291.4094,3326.461,317.1719
2026-02-13 20:03:20,2877.5798,1291.13514,3326.461,317.1719
2026-02-13 20:03:15,2877.4116,1291.30314,3326.461,317.1719
2026-02-13 20:03:10,2878.1454,1290.56954,3326.461,317.1719
2026-02-13 20:03:05,2879.8274,1288.8875,3326.461,317.1719
2026-02-13 20:03:00,2880.7628,1287.95468,3326.4586,317.1719
2026-02-13 20:02:55,2881.1774,1287.5414,3326.457,317.1719
2026-02-13 20:02:50,2880.4312,1288.28984,3326.4546,317.1719
2026-02-13 20:02:45,2880.036,1288.68672,3326.453,317.1719
2026-02-13 20:02:40,2882.3664,1286.35624,3326.453,317.1719
2026-02-13 20:02:35,2881.1094,1287.61406,3326.4522,317.1719
2026-02-13 20:02:30,2879.457,1289.27188,3326.4466,317.1719
2026-02-13 20:02:25,2878.0976,1290.63592,3326.4442,317.16956
2026-02-13 20:02:20,2879.536,1289.19844,3326.445,317.168
2026-02-13 20:02:15,2873.3076,1295.42656,3326.445,317.168
2026-02-13 20:02:10,2872.0296,1296.70468,3326.445,317.168
2026-02-13 20:02:05,2871.686,1297.05236,3326.445,317.1641
2026-02-13 20:02:00,2871.1626,1297.5758,3326.445,317.1641
2026-02-13 20:01:55,2871.6134,1297.12498,3326.445,317.1641
2026-02-13 20:01:50,2872.047,1296.69298,3326.4458,317.16176
2026-02-13 20:01:45,2872.872,1295.87032,3326.445,317.1602
2026-02-13 20:01:40,2872.0806,1296.66328,3326.4434,317.1602
2026-02-13 20:01:35,2871.9368,1296.8867,3326.3636,317.1602
2026-02-13 20:01:30,2871.8476,1297.0289,3326.3108,317.1602
2026-02-13 20:01:25,2871.0502,1297.82812,3326.3096,317.1602
2026-02-13 20:01:20,2871.3962,1297.48124,3326.31,317.1602
2026-02-13 20:01:15,2871.4632,1297.41954,3326.305,317.1602
2026-02-13 20:01:10,2871.001,1297.88204,3326.305,317.1602
2026-02-13 20:01:05,2872.5132,1296.36954,3326.305,317.1602
2026-02-13 20:01:00,2872.767,1296.11564,3326.305,317.1602
2026-02-13 20:00:55,2871.1982,1297.68436,3326.305,317.1602
2026-02-13 20:00:50,2873.0852,1295.79768,3326.305,317.1602
2026-02-13 20:00:45,2871.9466,1296.93594,3326.305,317.1602
2026-02-13 20:00:40,2870.1962,1298.6875,3326.3042,317.1602
2026-02-13 20:00:35,2873.0724,1295.91716,3326.1978,317.1602
2026-02-13 20:00:30,2873.3718,1295.64374,3326.172,317.1602
2026-02-13 20:00:25,2873.7024,1295.3133,3326.172,317.1602
2026-02-13 20:00:20,2874.4282,1294.58516,3326.1744,317.1602
2026-02-13 20:00:15,2870.2476,1298.76798,3326.172,317.1602
2026-02-13 20:00:10,2868.4876,1300.5297,3326.1704,317.1602
2026-02-13 20:00:05,2866.6868,1302.33282,3326.168,317.1602
2026-02-13 20:00:00,2863.6734,1305.34376,3326.1704,317.1602
2026-02-13 19:59:55,2864.1718,1304.85158,3326.1672,317.157
2026-02-13 19:59:50,2865.6374,1303.3875,3326.1664,317.1562
