step,run,START_EPOCH,READY_EPOCH,END_EPOCH,T_ready,T_total,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_util_mean,disk_util_peak,disk_util_auc,disk_util_col
step03_cluster_idle,1,1769146065,,1769146365,,300,9.383998411666665,56.3851992,2766.10498075,1462.2342566666664,1622.70704,431420.90595,2.76,58.2,823.5,utilization
step03_cluster_idle,2,1769146366,,1769146666,,300,8.526739423333334,13.026885400000001,2517.6236725,1336.3863396666666,1345.65626,394261.22795000003,2.3433333333333337,31.0,693.5,utilization
step03_cluster_idle,3,1769146668,,1769146968,,300,9.192273331666668,15.2832905,2718.7749899999994,1343.6139486666666,1354.55624,396410.64285,2.0366666666666666,7.8,608.5,utilization
step03_cluster_idle,4,1769146969,,1769147269,,300,8.534373538333334,13.179190899999998,2510.82199275,1347.9290322499999,1357.1406,397649.89958749997,1.556666666666667,8.4,464.0,utilization
step03_cluster_idle,5,1769147271,,1769147571,,300,8.836967966666666,15.2549331,2591.433818,1344.3649369999998,1354.12344,396590.1198,2.966666666666667,25.6,869.5,utilization
step03_cluster_idle,6,1769147572,,1769147872,,300,9.405645753333335,47.707194400000006,2768.2686927500004,1337.1399138333331,1353.18986,394427.951725,4.9399999999999995,97.6,1450.5,utilization
step03_cluster_idle,7,1769147873,,1769148173,,300,8.9752154,19.1419272,2648.492845,1331.9933377783332,1343.17734,392941.83076675003,2.9600000000000004,65.4,877.0,utilization
step03_cluster_idle,8,1769148175,,1769148475,,300,8.857347508333334,15.0720447,2615.9873769999995,1339.4486983333334,1353.01564,395155.13695,2.0833333333333335,22.4,605.5,utilization
step03_cluster_idle,9,1769148476,,1769148776,,300,8.571780458333333,15.3375853,2514.49112775,1341.258889666667,1354.51092,395684.43054999993,1.2433333333333332,9.0,355.5,utilization
step03_cluster_idle,10,1769148778,,1769149078,,300,8.665091758333334,13.6730312,2559.108292,1350.5882955000002,1360.03515,398457.67617500003,3.079999999999999,43.0,915.0,utilization
