time,received,sent
2026-02-13 19:48:45,0,0
2026-02-13 19:48:40,0,0
2026-02-13 19:48:35,0,0
2026-02-13 19:48:30,0,0
2026-02-13 19:48:25,0,0
2026-02-13 19:48:20,0,0
2026-02-13 19:48:15,0,0
2026-02-13 19:48:10,0,0
2026-02-13 19:48:05,0,0
2026-02-13 19:48:00,0,0
2026-02-13 19:47:55,0,0
2026-02-13 19:47:50,0,0
2026-02-13 19:47:45,0,0
2026-02-13 19:47:40,0,0
2026-02-13 19:47:35,0,0
2026-02-13 19:47:30,0,0
2026-02-13 19:47:25,0,0
2026-02-13 19:47:20,0,0
2026-02-13 19:47:15,0,0
2026-02-13 19:47:10,0,0
2026-02-13 19:47:05,0,0
2026-02-13 19:47:00,0,0
2026-02-13 19:46:55,0,0
2026-02-13 19:46:50,0,0
2026-02-13 19:46:45,0,0
2026-02-13 19:46:40,0,0
2026-02-13 19:46:35,0,0
2026-02-13 19:46:30,0,0
2026-02-13 19:46:25,0,0
2026-02-13 19:46:20,0,0
2026-02-13 19:46:15,0,0
2026-02-13 19:46:10,0,0
2026-02-13 19:46:05,0,0
2026-02-13 19:46:00,0,0
2026-02-13 19:45:55,0,0
2026-02-13 19:45:50,0,0
2026-02-13 19:45:45,0,0
2026-02-13 19:45:40,0,0
2026-02-13 19:45:35,0,0
2026-02-13 19:45:30,0,0
2026-02-13 19:45:25,0,0
2026-02-13 19:45:20,0,0
2026-02-13 19:45:15,0,0
2026-02-13 19:45:10,0,0
2026-02-13 19:45:05,0,0
2026-02-13 19:45:00,0,0
2026-02-13 19:44:55,0,0
2026-02-13 19:44:50,0,0
2026-02-13 19:44:45,0,0
2026-02-13 19:44:40,0,0
2026-02-13 19:44:35,0,0
2026-02-13 19:44:30,0,0
2026-02-13 19:44:25,0,0
2026-02-13 19:44:20,0,0
2026-02-13 19:44:15,0,0
2026-02-13 19:44:10,0,0
2026-02-13 19:44:05,0,0
2026-02-13 19:44:00,0,0
2026-02-13 19:43:55,0,0
2026-02-13 19:43:50,0,0
