time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2026-02-13 19:48:45,0,0,0,0.1513905,0,4.5009772,3.8968342,0,0.9634442
2026-02-13 19:48:40,0,0,0,0.0507614,0,5.700693,4.6428654,0,0.0501253
2026-02-13 19:48:35,0,0,0,0.1010127,0,8.3040974,5.0045726,0,0.1507538
2026-02-13 19:48:30,0,0,0,0.0502513,0,4.8998078,3.9904426,0,0.2020202
2026-02-13 19:48:25,0,0,0,0.1522869,0,4.609119,3.9476834,0,0.4522614
2026-02-13 19:48:20,0,0,0,0.1020435,0,5.5102082,5.3191274,0,0.0506329
2026-02-13 19:48:15,0,0,0,0.0503778,0,4.2957752,3.9419834,0,0.3037975
2026-02-13 19:48:10,0,0,0,0.1012658,0,6.5988118,4.7183598,0,0
2026-02-13 19:48:05,0,0,0,0.0505051,0,4.5073334,3.8487114,0,0
2026-02-13 19:48:00,0,0,0,0.1516443,0,4.7522308,4.65186,0,0.1512607
2026-02-13 19:47:55,0,0,0,0,0,4.813059,4.2076494,0,0.1010101
2026-02-13 19:47:50,0,0,0,0.1000006,0,5.3455008,4.5415318,0,0.0505051
2026-02-13 19:47:45,0,0,0,0.1515229,0,5.3126794,4.1951408,0,0.1515152
2026-02-13 19:47:40,0,0,0,0.0502513,0,5.1877204,3.92775,0,0.0507614
2026-02-13 19:47:35,0,0,0,0.1013982,0,4.7206688,4.4633802,0,1.0714286
2026-02-13 19:47:30,0,0,0,0.1017818,0,5.163823,4.4516176,0,0.3039286
2026-02-13 19:47:25,0,0,0,0.1013956,0,5.1040176,4.804966,0,1.7676768
2026-02-13 19:47:20,0,0,0,0.0508906,0,6.4007506,4.416922,0,7.907568
2026-02-13 19:47:15,0,0,0,0,0,5.2216166,3.7552758,0,3.8607168
2026-02-13 19:47:10,0,0,0,0.1513912,0,6.109613,4.1448182,0,0.1012658
2026-02-13 19:47:05,0,0,0,0.1017838,0,5.274703,4.3637748,0,0.3062595
2026-02-13 19:47:00,0,0,0,0,0,4.8034008,4.5012646,0,0.0508906
2026-02-13 19:46:55,0,0,0,0.151521,0,8.0382756,4.5856524,0,0.3030303
2026-02-13 19:46:50,0,0,0,0.0503778,0,4.986117,3.979166,0,0
2026-02-13 19:46:45,0,0,0,0,0,5.3204636,4.4085526,0,0.0507614
2026-02-13 19:46:40,0,0,0,0.0505051,0,5.4533562,4.9474076,0,0.2518892
2026-02-13 19:46:35,0,0,0,0.1520273,0,5.0233376,4.4645744,0,0.0507614
2026-02-13 19:46:30,0,0,0,0.1010108,0,5.1282924,4.5674362,0,1.2704726
2026-02-13 19:46:25,0,0,0,0.253828,0,5.1766396,4.6198048,0,0
2026-02-13 19:46:20,0,0,0,0.1517741,0,5.3814474,4.7198698,0,0.9657586
2026-02-13 19:46:15,0,0,0,0,0,4.811651,3.852055,0,0.0505051
2026-02-13 19:46:10,0,0,0,0.0502513,0,5.4968522,4.6410348,0,0
2026-02-13 19:46:05,0,0,0,0.153197,0,5.1960072,4.079998,0,0.0505051
2026-02-13 19:46:00,0,0,0,0.0506329,0,4.7929272,4.1373726,0,0
2026-02-13 19:45:55,0,0,0,0.1003766,0,5.2558834,4.143325,0,0.0507614
2026-02-13 19:45:50,0,0,0,0.0507614,0,4.8661568,3.3958746,0,0.0507614
2026-02-13 19:45:45,0,0,0,0.1013943,0,5.162408,4.3078036,0,0
2026-02-13 19:45:40,0,0,0,0.101911,0,4.9141618,3.6976694,0,0.0505051
2026-02-13 19:45:35,0,0,0,0.1008829,0,5.1693432,4.2583196,0,0.101138
2026-02-13 19:45:30,0,0,0,0.1007557,0,5.3416424,4.6863372,0,0.1007557
2026-02-13 19:45:25,0,0,0,0.1519033,0,4.9605932,4.1018562,0,0.1520279
2026-02-13 19:45:20,0,0,0,0.2016405,0,4.8478018,4.2894416,0,0.2030457
2026-02-13 19:45:15,0,0,0,0.0510204,0,5.8368704,3.8603758,0,0.1530612
2026-02-13 19:45:10,0,0,0,0.2013899,0,5.3468234,4.3399892,0,0.3045685
2026-02-13 19:45:05,0,0,0,0,0,5.6285694,3.905225,0,0
2026-02-13 19:45:00,0,0,0,0.1012665,0,5.059425,4.102244,0,0.0502513
2026-02-13 19:44:55,0,0,0,0.1517715,0,7.8762658,3.842668,0,0.3030303
2026-02-13 19:44:50,0,0,0,0.1511335,0,5.4941228,3.7801258,0,0.0505051
2026-02-13 19:44:45,0,0,0,0.1515158,0,4.956553,4.2483254,0,0.8605044
2026-02-13 19:44:40,0,0,0,0,0,4.3456174,4.7015882,0,0.2525253
2026-02-13 19:44:35,0,0,0,0.101656,0,5.2552366,4.7827792,0,0.102441
2026-02-13 19:44:30,0,0,0,0.0496278,0,4.1561038,3.9958216,0,0
2026-02-13 19:44:25,0,0,0,0.1013943,0,5.4299836,4.1606826,0,0.0507614
2026-02-13 19:44:20,0,0,0,0.0507614,0,5.2100262,4.1460812,0,0.0507614
2026-02-13 19:44:15,0,0,0,0.1023018,0,5.1849158,4.4228266,0,0.1011393
2026-02-13 19:44:10,0,0,0,0.0507614,0,5.2750408,4.2609422,0,0.101138
2026-02-13 19:44:05,0,0,0,0.2020202,0,5.5622214,4.548531,0,0.0505051
2026-02-13 19:44:00,0,0,0,0.1008829,0,4.4488592,4.0469852,0,0.1007557
2026-02-13 19:43:55,0,0,0,0.0507614,0,5.5574026,3.8722278,0,0.2029172
2026-02-13 19:43:50,0,0,0,0.0510204,0,4.5519958,4.3966404,0,0.2515101
