time,free,used,cached,buffers
2026-02-13 19:48:45,2866.9624,1303.15468,3325.125,317.1055
2026-02-13 19:48:40,2868.564,1301.5531,3325.125,317.1055
2026-02-13 19:48:35,2869.4194,1300.69764,3325.125,317.1055
2026-02-13 19:48:30,2870.7172,1299.41018,3325.117,317.10316
2026-02-13 19:48:25,2872.3024,1297.82656,3325.117,317.1016
2026-02-13 19:48:20,2872.7828,1297.3461,3325.117,317.1016
2026-02-13 19:48:15,2874.7428,1295.38594,3325.117,317.1016
2026-02-13 19:48:10,2875.3164,1294.81252,3325.117,317.1016
2026-02-13 19:48:05,2876.3542,1293.775,3325.117,317.1016
2026-02-13 19:48:00,2876.767,1293.36172,3325.117,317.1016
2026-02-13 19:47:55,2874.274,1295.85468,3325.117,317.1016
2026-02-13 19:47:50,2873.5054,1296.62578,3325.1146,317.1016
2026-02-13 19:47:45,2873.4648,1296.66798,3325.113,317.1016
2026-02-13 19:47:40,2873.0586,1297.07656,3325.1106,317.1016
2026-02-13 19:47:35,2875.2992,1294.83906,3325.109,317.10004
2026-02-13 19:47:30,2873.9634,1296.1789,3325.1074,317.0977
2026-02-13 19:47:25,2875.27,1294.87422,3325.105,317.0977
2026-02-13 19:47:20,2875.3782,1294.76796,3325.1038,317.0977
2026-02-13 19:47:15,2875.6984,1294.45078,3325.1012,317.0977
2026-02-13 19:47:10,2875.7414,1294.40702,3325.102,317.0977
2026-02-13 19:47:05,2875.9742,1294.17422,3325.102,317.0977
2026-02-13 19:47:00,2880.0172,1290.13124,3325.102,317.0977
2026-02-13 19:46:55,2876.0866,1294.06172,3325.102,317.0977
2026-02-13 19:46:50,2874.322,1295.82656,3325.102,317.0977
2026-02-13 19:46:45,2877.0258,1293.12344,3325.1012,317.0977
2026-02-13 19:46:40,2877.0898,1293.05468,3325.1058,317.0977
2026-02-13 19:46:35,2877.4656,1292.64766,3325.141,317.0938
2026-02-13 19:46:30,2877.5234,1292.72032,3325.0144,317.0898
2026-02-13 19:46:25,2873.8978,1296.35624,3325.008,317.0859
2026-02-13 19:46:20,2875.617,1294.63672,3325.008,317.0859
2026-02-13 19:46:15,2876.66,1293.59688,3325.008,317.08278
2026-02-13 19:46:10,2875.079,1295.1797,3325.0072,317.082
2026-02-13 19:46:05,2876.649,1293.61174,3325.0072,317.07966
2026-02-13 19:46:00,2875.0228,1295.24296,3325.004,317.0781
2026-02-13 19:45:55,2874.9672,1295.29846,3325.004,317.0781
2026-02-13 19:45:50,2875.0352,1295.23046,3325.004,317.0781
2026-02-13 19:45:45,2876.2248,1294.04062,3325.004,317.0781
2026-02-13 19:45:40,2876.868,1293.40704,3325.0024,317.0703
2026-02-13 19:45:35,2876.1522,1294.1289,3324.996,317.0703
2026-02-13 19:45:30,2877.3836,1292.89764,3324.996,317.0703
2026-02-13 19:45:25,2875.8234,1294.45782,3324.996,317.0703
2026-02-13 19:45:20,2876.5478,1293.7336,3324.996,317.0703
2026-02-13 19:45:15,2877.2718,1293.0125,3324.9928,317.0703
2026-02-13 19:45:10,2877.1986,1293.08672,3324.992,317.0703
2026-02-13 19:45:05,2876.7336,1293.55468,3324.9888,317.0703
2026-02-13 19:45:00,2878.0678,1292.2211,3324.988,317.0703
2026-02-13 19:44:55,2875.0718,1295.21722,3324.988,317.0703
2026-02-13 19:44:50,2877.3476,1292.94452,3324.9872,317.06796
2026-02-13 19:44:45,2876.283,1294.01172,3324.988,317.06484
2026-02-13 19:44:40,2874.4586,1295.83826,3324.988,317.0625
2026-02-13 19:44:35,2874.4522,1295.84764,3324.9848,317.0625
2026-02-13 19:44:30,2875.0592,1295.24532,3324.98,317.0625
2026-02-13 19:44:25,2873.574,1296.73046,3324.98,317.0625
2026-02-13 19:44:20,2875.8822,1294.42268,3324.98,317.0625
2026-02-13 19:44:15,2876.8814,1293.42344,3324.98,317.0625
2026-02-13 19:44:10,2875.8,1294.50468,3324.98,317.0625
2026-02-13 19:44:05,2877.461,1292.84374,3324.98,317.0625
2026-02-13 19:44:00,2876.6774,1293.62736,3324.98,317.0625
2026-02-13 19:43:55,2876.1654,1294.14138,3324.9782,317.0625
2026-02-13 19:43:50,2877.1822,1293.12656,3324.977,317.0625
