time,utilization
2026-02-13 19:48:45,2.4
2026-02-13 19:48:40,0.2
2026-02-13 19:48:35,5.2
2026-02-13 19:48:30,1
2026-02-13 19:48:25,3.2
2026-02-13 19:48:20,0.4
2026-02-13 19:48:15,2.4
2026-02-13 19:48:10,0.4
2026-02-13 19:48:05,1.8
2026-02-13 19:48:00,0.8
2026-02-13 19:47:55,3.4
2026-02-13 19:47:50,0.4
2026-02-13 19:47:45,2
2026-02-13 19:47:40,2.4
2026-02-13 19:47:35,8.2
2026-02-13 19:47:30,1.4
2026-02-13 19:47:25,57.4
2026-02-13 19:47:20,27.2
2026-02-13 19:47:15,35
2026-02-13 19:47:10,0.2
2026-02-13 19:47:05,1.8
2026-02-13 19:47:00,0.2
2026-02-13 19:46:55,1.2
2026-02-13 19:46:50,0.4
2026-02-13 19:46:45,3.6
2026-02-13 19:46:40,1.2
2026-02-13 19:46:35,0.4
2026-02-13 19:46:30,5.8
2026-02-13 19:46:25,0.6
2026-02-13 19:46:20,2
2026-02-13 19:46:15,0.8
2026-02-13 19:46:10,1.8
2026-02-13 19:46:05,2.8
2026-02-13 19:46:00,0.8
2026-02-13 19:45:55,0.6
2026-02-13 19:45:50,0.8
2026-02-13 19:45:45,0
2026-02-13 19:45:40,1
2026-02-13 19:45:35,0.6
2026-02-13 19:45:30,3.6
2026-02-13 19:45:25,0.8
2026-02-13 19:45:20,2.6
2026-02-13 19:45:15,1.2
2026-02-13 19:45:10,2
2026-02-13 19:45:05,0
2026-02-13 19:45:00,1
2026-02-13 19:44:55,4.4
2026-02-13 19:44:50,0.2
2026-02-13 19:44:45,4.2
2026-02-13 19:44:40,1.6
2026-02-13 19:44:35,0.4
2026-02-13 19:44:30,1.6
2026-02-13 19:44:25,4.6
2026-02-13 19:44:20,1.4
2026-02-13 19:44:15,1.2
2026-02-13 19:44:10,0.8
2026-02-13 19:44:05,0.8
2026-02-13 19:44:00,1.2
2026-02-13 19:43:55,6.4
2026-02-13 19:43:50,1.6
