run,cpu_avg,cpu_peak,ram_avg,ram_peak
start_master_20260120_153729,21.741055081944445,93.65482200000001,1174.17605,1237.3086,used
start_master_20260120_155238,23.153743576712326,95.979897,1167.3787438356164,1216.0117,used
start_master_20260120_164210,21.796597875,96.221658,1179.2932444444446,1237.6367,used
