worker,tcp_mean_mbps,tcp_peak_mbps,ping_mean_ms,ping_p95_ms,loss_pct
pi03,357.00959889658697,387.97621877475,1.6003500000000002,1.9795000000000067,0.0
pi04,369.7176320003257,419.4245500815917,1.4183999999999999,1.6650000000000067,0.0
yhsensorpi,296.1799049209005,377.48848500335276,1.9789999999999999,2.4345000000000057,0.0
