worker,tcp_mean_mbps,tcp_peak_mbps,ping_mean_ms,ping_p95_ms,loss_pct
pi03,362.02143960387167,398.4748168873913,1.0995000000000001,1.7580000000000005,0.0
pi04,367.26309092924623,387.98089015561413,1.08025,2.1050000000000004,0.0
yhsensorpi,296.66035538695576,335.55270020929026,1.855,2.616500000000003,0.0
