time,utilization
2026-02-13 19:43:25,4.4
2026-02-13 19:43:20,1
2026-02-13 19:43:15,1.2
2026-02-13 19:43:10,0.2
2026-02-13 19:43:05,0.8
2026-02-13 19:43:00,0.4
2026-02-13 19:42:55,2.6
2026-02-13 19:42:50,0.4
2026-02-13 19:42:45,0.6
2026-02-13 19:42:40,0.2
2026-02-13 19:42:35,1.6
2026-02-13 19:42:30,0
2026-02-13 19:42:25,0.8
2026-02-13 19:42:20,1.8
2026-02-13 19:42:15,0
2026-02-13 19:42:10,0.2
2026-02-13 19:42:05,0.8
2026-02-13 19:42:00,1.2
2026-02-13 19:41:55,0
2026-02-13 19:41:50,1.6
2026-02-13 19:41:45,1.8
2026-02-13 19:41:40,0.4
2026-02-13 19:41:35,2.2
2026-02-13 19:41:30,16.6
2026-02-13 19:41:25,74
2026-02-13 19:41:20,18
2026-02-13 19:41:15,0.2
2026-02-13 19:41:10,0.2
2026-02-13 19:41:05,0.2
2026-02-13 19:41:00,0.2
2026-02-13 19:40:55,0.4
2026-02-13 19:40:50,1.4
2026-02-13 19:40:45,2.4
2026-02-13 19:40:40,0
2026-02-13 19:40:35,0.2
2026-02-13 19:40:30,0.4
2026-02-13 19:40:25,0.2
2026-02-13 19:40:20,2.2
2026-02-13 19:40:15,0.2
2026-02-13 19:40:10,0.4
2026-02-13 19:40:05,0.2
2026-02-13 19:40:00,2.8
2026-02-13 19:39:55,0
2026-02-13 19:39:50,0.6
2026-02-13 19:39:45,0.2
2026-02-13 19:39:40,0.6
2026-02-13 19:39:35,2.8
2026-02-13 19:39:30,0.4
2026-02-13 19:39:25,0.6
2026-02-13 19:39:20,2.6
2026-02-13 19:39:15,0.4
2026-02-13 19:39:10,0.2
2026-02-13 19:39:05,0
2026-02-13 19:39:00,0.4
2026-02-13 19:38:55,0
2026-02-13 19:38:50,0.4
2026-02-13 19:38:45,1.4
2026-02-13 19:38:40,2.2
2026-02-13 19:38:35,0
2026-02-13 19:38:30,0.2
