time,received,sent
2026-02-13 19:43:25,0,0
2026-02-13 19:43:20,0,0
2026-02-13 19:43:15,0,0
2026-02-13 19:43:10,0,0
2026-02-13 19:43:05,0,0
2026-02-13 19:43:00,0,0
2026-02-13 19:42:55,0,0
2026-02-13 19:42:50,0,0
2026-02-13 19:42:45,0,0
2026-02-13 19:42:40,0,0
2026-02-13 19:42:35,0,0
2026-02-13 19:42:30,0,0
2026-02-13 19:42:25,0,0
2026-02-13 19:42:20,0,0
2026-02-13 19:42:15,0,0
2026-02-13 19:42:10,0,0
2026-02-13 19:42:05,0,0
2026-02-13 19:42:00,0,0
2026-02-13 19:41:55,0,0
2026-02-13 19:41:50,0,0
2026-02-13 19:41:45,0,0
2026-02-13 19:41:40,0,0
2026-02-13 19:41:35,0,0
2026-02-13 19:41:30,0,0
2026-02-13 19:41:25,0,0
2026-02-13 19:41:20,0,0
2026-02-13 19:41:15,0,0
2026-02-13 19:41:10,0,0
2026-02-13 19:41:05,0,0
2026-02-13 19:41:00,0,0
2026-02-13 19:40:55,0,0
2026-02-13 19:40:50,0,0
2026-02-13 19:40:45,0,0
2026-02-13 19:40:40,0,0
2026-02-13 19:40:35,0,0
2026-02-13 19:40:30,0,0
2026-02-13 19:40:25,0,0
2026-02-13 19:40:20,0,0
2026-02-13 19:40:15,0,0
2026-02-13 19:40:10,0,0
2026-02-13 19:40:05,0,0
2026-02-13 19:40:00,0,0
2026-02-13 19:39:55,0,0
2026-02-13 19:39:50,0,0
2026-02-13 19:39:45,0,0
2026-02-13 19:39:40,0,0
2026-02-13 19:39:35,0,0
2026-02-13 19:39:30,0,0
2026-02-13 19:39:25,0,0
2026-02-13 19:39:20,0,0
2026-02-13 19:39:15,0,0
2026-02-13 19:39:10,0,0
2026-02-13 19:39:05,0,0
2026-02-13 19:39:00,0,0
2026-02-13 19:38:55,0,0
2026-02-13 19:38:50,0,0
2026-02-13 19:38:45,0,0
2026-02-13 19:38:40,0,0
2026-02-13 19:38:35,0,0
2026-02-13 19:38:30,0,0
