step,run,START_EPOCH,READY_EPOCH,END_EPOCH,T_ready,T_total,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_util_mean,disk_util_peak,disk_util_auc,disk_io_read_mean,disk_io_read_peak,disk_io_read_auc,disk_io_write_mean,disk_io_write_peak,disk_io_write_auc
step05_deployment_idle,1,1769151195,1769151195,1769151495,0.0,300.0,9.703237685,46.8669358,2846.1423345000003,1374.3881396666668,1385.92032,405531.03965000005,3.3,62.6,940.0,61.30521711000001,396.145668,18389.78256,85.13981199666668,825.04636,23103.389938
step05_deployment_idle,2,1769151497,1769151497,1769151797,0.0,300.0,8.551363186666668,14.0264014,2528.9470104999996,1363.1732791666668,1372.27344,402153.80212499993,1.7683333333333335,8.4,518.75,48.21560668666667,338.8237292,13846.412571,60.61043556,353.3465936,17773.217621499996
step05_deployment_idle,3,1769151799,1769151799,1769152099,0.0,300.0,9.034021283333336,29.7124264,2676.16472025,1365.9354895000001,1374.11018,402958.10482500005,4.39,87.8,1313.5,28.306666753333335,183.835626,8492.000026,57.71333286833333,465.5999804,17110.999860999997
step05_deployment_idle,4,1769152101,1769152101,1769152401,0.0,300.0,8.784477388333332,17.1132491,2574.3764767500006,1362.0701716666665,1373.01486,401795.9832,1.7233333333333334,9.2,511.0,64.33059236,352.095114,18911.588878,61.86666635499999,447.377118,18429.578286499996
step05_deployment_idle,5,1769152403,1769152403,1769152703,0.0,300.0,8.684699775,13.7079422,2565.0512897499993,1364.3530208883335,1379.5875,402498.63868324994,3.598888888333333,70.0,1064.33333325,78.266072185,427.304008,23263.910703750003,65.44000037833332,392.764118,19256.000123499998
step05_deployment_idle,6,1769152705,1769152705,1769153005,0.0,300.0,9.034381413333334,26.0636518,2653.0432180000003,1363.4697013333332,1376.71172,402274.7502,3.463333333333333,76.0,1030.0,58.23999968666667,418.581496,17265.831076000002,69.87129196499998,469.599996,20416.69374425
step05_deployment_idle,7,1769153007,1769153007,1769153307,0.0,300.0,8.614751251666666,13.6717157,2538.8704649999995,1371.1832099999997,1381.4121,404543.257,1.6416666666666666,9.4,482.25,59.10666784666667,289.60001,17490.000349,58.14607392666666,305.5115046,17122.810271999995
step05_deployment_idle,8,1769153309,1769153309,1769153609,0.0,300.0,9.756098291666666,44.549098400000005,2826.270627,1362.79134525,1385.36952,402002.81723750004,4.2941666666666665,53.8,1161.625,71.11142863666666,385.844066,21332.7143955,57.35010679833333,286.3999924,16638.737623
step05_deployment_idle,9,1769153611,1769153611,1769153911,0.0,300.0,8.737378895,16.9262015,2561.9314917500005,1369.3836716666665,1383.91484,404007.65615000005,1.8466666666666671,8.0,551.0,84.78666546333332,532.46342,25403.999636999997,58.27478764,221.727578,17330.0303835
step05_deployment_idle,10,1769153913,1769153913,1769154213,0.0,300.0,9.50618290666667,44.4319004,2800.95058875,1358.7151579999997,1369.78906,400779.98235,3.795555555,77.2,1129.33333325,88.952790935,427.364738,25968.52353975,81.36159066666666,667.0733836,24188.99763
