time,free,used,cached,buffers
2026-02-13 19:54:05,2867.0524,1302.41642,3325.754,317.125
2026-02-13 19:54:00,2865.6602,1303.80862,3325.754,317.125
2026-02-13 19:53:55,2867.2742,1302.19612,3325.7532,317.12422
2026-02-13 19:53:50,2870.085,1299.4125,3325.729,317.1211
2026-02-13 19:53:45,2871.621,1297.97654,3325.629,317.1211
2026-02-13 19:53:40,2871.9282,1297.69452,3325.604,317.1211
2026-02-13 19:53:35,2870.8094,1298.9164,3325.5008,317.1211
2026-02-13 19:53:30,2870.6102,1299.1203,3325.496,317.1211
2026-02-13 19:53:25,2870.818,1298.9125,3325.496,317.1211
2026-02-13 19:53:20,2870.8546,1298.87346,3325.4984,317.1211
2026-02-13 19:53:15,2871.7046,1298.02422,3325.4976,317.1211
2026-02-13 19:53:10,2872.2054,1297.52504,3325.496,317.1211
2026-02-13 19:53:05,2872.593,1297.13752,3325.496,317.1211
2026-02-13 19:53:00,2872.0532,1297.67736,3325.496,317.1211
2026-02-13 19:52:55,2870.743,1299.09062,3325.3928,317.1211
2026-02-13 19:52:50,2872.2156,1297.64374,3325.367,317.1211
2026-02-13 19:52:45,2870.9726,1298.89218,3325.3622,317.12032
2026-02-13 19:52:40,2871.6468,1298.22032,3325.363,317.1172
2026-02-13 19:52:35,2870.4024,1299.46564,3325.3622,317.1172
2026-02-13 19:52:30,2872.0438,1297.83124,3325.355,317.1172
2026-02-13 19:52:25,2874.8202,1295.05704,3325.3532,317.1172
2026-02-13 19:52:20,2880.7156,1289.16326,3325.352,317.1172
2026-02-13 19:52:15,2883.8688,1286.01016,3325.352,317.1172
2026-02-13 19:52:10,2884.1624,1285.71796,3325.3512,317.11642
2026-02-13 19:52:05,2884.2304,1285.64842,3325.355,317.1133
2026-02-13 19:52:00,2884.9124,1284.96952,3325.3526,317.1133
2026-02-13 19:51:55,2885.5538,1284.3289,3325.352,317.1133
2026-02-13 19:51:50,2884.7244,1285.16092,3325.352,317.11096
2026-02-13 19:51:45,2886.8852,1283.00314,3325.3504,317.1094
2026-02-13 19:51:40,2887.3188,1282.5719,3325.348,317.1094
2026-02-13 19:51:35,2886.2714,1283.6242,3325.3448,317.10784
2026-02-13 19:51:30,2888.0776,1281.825,3325.34,317.1055
2026-02-13 19:51:25,2885.3632,1284.54062,3325.3384,317.1055
2026-02-13 19:51:20,2885.2772,1284.6289,3325.336,317.1055
2026-02-13 19:51:15,2886.9064,1282.99998,3325.336,317.1055
2026-02-13 19:51:10,2886.6874,1283.22188,3325.3328,317.1055
2026-02-13 19:51:05,2886.1392,1283.7828,3325.32,317.1055
2026-02-13 19:51:00,2886.3016,1283.62032,3325.32,317.1055
2026-02-13 19:50:55,2885.661,1284.26094,3325.32,317.1055
2026-02-13 19:50:50,2885.4846,1284.4375,3325.32,317.1055
2026-02-13 19:50:45,2887.8726,1282.05078,3325.3184,317.1055
2026-02-13 19:50:40,2888.0936,1281.83202,3325.316,317.1055
2026-02-13 19:50:35,2876.5148,1293.41406,3325.3128,317.1055
2026-02-13 19:50:30,2869.9146,1300.01484,3325.312,317.1055
2026-02-13 19:50:25,2869.254,1300.67576,3325.312,317.1055
2026-02-13 19:50:20,2867.5892,1302.34064,3325.312,317.1055
2026-02-13 19:50:15,2868.072,1301.85858,3325.3114,317.1055
2026-02-13 19:50:10,2870.743,1299.19064,3325.309,317.1055
2026-02-13 19:50:05,2869.6876,1300.2461,3325.309,317.1055
2026-02-13 19:50:00,2869.3016,1300.63594,3325.305,317.1055
2026-02-13 19:49:55,2868.5508,1301.3867,3325.305,317.1055
2026-02-13 19:49:50,2869.4438,1300.49376,3325.305,317.1055
2026-02-13 19:49:45,2869.743,1300.19452,3325.305,317.1055
2026-02-13 19:49:40,2867.5704,1302.375,3325.297,317.1055
2026-02-13 19:49:35,2869.843,1300.1836,3325.2156,317.1055
2026-02-13 19:49:30,2869.0118,1301.06638,3325.164,317.1055
2026-02-13 19:49:25,2866.8134,1303.26484,3325.164,317.1055
2026-02-13 19:49:20,2867.2094,1302.86874,3325.164,317.1055
2026-02-13 19:49:15,2867.2172,1302.86092,3325.164,317.1055
2026-02-13 19:49:10,2870.0134,1300.08358,3325.1456,317.1055
