run,tcp_mean_mbps_avg_over_workers,ping_mean_ms_avg_over_workers,ping_p95_ms_avg_over_workers,loss_pct_avg_over_workers
1,340.96904527260443,1.6659166666666667,2.0263333333333393,0.0
2,325.13790756398026,1.371333333333333,1.9456666666666678,0.0
3,336.1025666027992,1.4504666666666666,2.090833333333334,0.0
4,341.068998928515,1.3157166666666666,1.9271666666666674,0.0
5,339.00027193029814,1.1968333333333334,1.8976666666666675,0.0
6,338.1694781580284,1.18,1.5916666666666675,0.0
7,333.59154926471183,1.4596666666666664,2.3208333333333346,0.0
8,336.46847331176474,1.3032833333333331,1.566000000000001,0.0
9,341.9816286400246,1.344916666666667,2.1598333333333346,0.0
10,332.23824248854595,1.2549333333333332,2.256,0.0
