time,utilization
2026-02-13 19:27:25,0
2026-02-13 19:27:20,0.2
2026-02-13 19:27:15,1.4
2026-02-13 19:27:10,1.6
2026-02-13 19:27:05,0.2
2026-02-13 19:27:00,0.2
2026-02-13 19:26:55,0
2026-02-13 19:26:50,0
2026-02-13 19:26:45,1
2026-02-13 19:26:40,2.8
2026-02-13 19:26:35,0.2
2026-02-13 19:26:30,0.2
2026-02-13 19:26:25,0.2
2026-02-13 19:26:20,6.4
2026-02-13 19:26:15,0
2026-02-13 19:26:10,2.8
2026-02-13 19:26:05,0.2
2026-02-13 19:26:00,0.4
2026-02-13 19:25:55,1.8
2026-02-13 19:25:50,0
2026-02-13 19:25:45,0.4
2026-02-13 19:25:40,0.8
2026-02-13 19:25:35,1.8
2026-02-13 19:25:30,0.2
2026-02-13 19:25:25,0
2026-02-13 19:25:20,4.4
2026-02-13 19:25:15,0
2026-02-13 19:25:10,0.2
2026-02-13 19:25:05,2
2026-02-13 19:25:00,0.4
2026-02-13 19:24:55,2.8
2026-02-13 19:24:50,0.2
2026-02-13 19:24:45,0.6
2026-02-13 19:24:40,2.4
2026-02-13 19:24:35,4.2
2026-02-13 19:24:30,2.8
2026-02-13 19:24:25,1.4
2026-02-13 19:24:20,2.8
2026-02-13 19:24:15,0.4
2026-02-13 19:24:10,3.6
2026-02-13 19:24:05,0
2026-02-13 19:24:00,1.6
2026-02-13 19:23:55,0.2
2026-02-13 19:23:50,67.2
2026-02-13 19:23:45,24.4
2026-02-13 19:23:40,18.6
2026-02-13 19:23:35,1.2
2026-02-13 19:23:30,1.8
2026-02-13 19:23:25,1.8
2026-02-13 19:23:20,1.2
2026-02-13 19:23:15,0.4
2026-02-13 19:23:10,3.4
2026-02-13 19:23:05,0
2026-02-13 19:23:00,2
2026-02-13 19:22:55,1.8
2026-02-13 19:22:50,1.4
2026-02-13 19:22:45,0.4
2026-02-13 19:22:40,1.8
2026-02-13 19:22:35,3.2
2026-02-13 19:22:30,4.2
