time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2026-02-13 19:27:25,0,0,0,0.1515171,0,9.3756572,5.1571956,0,0.0501253
2026-02-13 19:27:20,0,0,0,0.1002513,0,7.0797206,4.825942,0,0
2026-02-13 19:27:15,0,0,0,0.0508906,0,4.2639004,3.958168,0,0.0505051
2026-02-13 19:27:10,0,0,0,0.151262,0,5.7164872,4.2470892,0,0.0507614
2026-02-13 19:27:05,0,0,0,0,0,5.655839,4.1909252,0,0.0505051
2026-02-13 19:27:00,0,0,0,0.05,0,4.8454118,4.1350404,0,0.0505051
2026-02-13 19:26:55,0,0,0,0.1003778,0,5.2954646,3.9863522,0,0
2026-02-13 19:26:50,0,0,0,0.15242,0,5.533904,4.4121482,0,0
2026-02-13 19:26:45,0,0,0,0.0501253,0,4.8359672,4.184096,0,0.0503778
2026-02-13 19:26:40,0,0,0,0.1002513,0,4.9008632,3.9924308,0,0.0511509
2026-02-13 19:26:35,0,0,0,0.1012665,0,5.6244296,3.7491936,0,0.0505051
2026-02-13 19:26:30,0,0,0,0.0503778,0,4.9703984,4.7176362,0,0
2026-02-13 19:26:25,0,0,0,0.0505051,0,5.007796,4.1488066,0,0.0503778
2026-02-13 19:26:20,0,0,0,0.0508906,0,6.050351,4.686359,0,1.6005051
2026-02-13 19:26:15,0,0,0,0,0,4.7970014,4.445187,0,0.0511509
2026-02-13 19:26:10,0,0,0,0.1520305,0,5.7381026,4.3686712,0,0
2026-02-13 19:26:05,0,0,0,0.1006329,0,5.264914,4.1444824,0,0
2026-02-13 19:26:00,0,0,0,0.1012658,0,4.6161336,3.7547268,0,0.0506329
2026-02-13 19:25:55,0,0,0,0.1520305,0,5.8353948,4.7691196,0,0.1015255
2026-02-13 19:25:50,0,0,0,0.0505051,0,4.9411346,4.3855802,0,0
2026-02-13 19:25:45,0,0,0,0.0507614,0,5.2490508,4.544639,0,0.0503778
2026-02-13 19:25:40,0,0,0,0.0507614,0,4.7007798,3.9939466,0,0
2026-02-13 19:25:35,0,0,0,0.1007563,0,6.968883,4.4924228,0,0.2557545
2026-02-13 19:25:30,0,0,0,0.1507557,0,6.2035672,4.5378924,0,0.101138
2026-02-13 19:25:25,0,0,0,0.0503778,0,5.3151636,4.3543954,0,0
2026-02-13 19:25:20,0,0,0,0.0505051,0,4.8937158,3.937026,0,0
2026-02-13 19:25:15,0,0,0,0.1010101,0,5.417147,4.4080582,0,0.0511509
2026-02-13 19:25:10,0,0,0,0.1019123,0,5.0621776,4.2540798,0,0.1012658
2026-02-13 19:25:05,0,0,0,0.1525432,0,4.6666516,3.8549788,0,0.0510204
2026-02-13 19:25:00,0,0,0,0.0502513,0,4.8097212,4.4069446,0,0.0507614
2026-02-13 19:24:55,0,0,0,0.1013956,0,4.306915,4.4597178,0,0
2026-02-13 19:24:50,0,0,0,0.1013956,0,4.6610914,4.0036316,0,0.0507614
2026-02-13 19:24:45,0,0,0,0.1012684,0,5.4173304,4.3579886,0,0
2026-02-13 19:24:40,0,0,0,0.1510101,0,5.0894194,4.4824704,0,0
2026-02-13 19:24:35,0,0,0,0.1513918,0,5.149337,4.3921372,0,0.8623081
2026-02-13 19:24:30,0,0,0,0.1008906,0,5.2028664,4.7981918,0,0.9571788
2026-02-13 19:24:25,0,0,0,0.1521584,0,4.9645688,4.2560726,0,0.203822
2026-02-13 19:24:20,0,0,0,0.0503778,0,5.0007276,4.7503668,0,0.0503778
2026-02-13 19:24:15,0,0,0,0.101138,0,4.9746136,3.7070944,0,0.0506329
2026-02-13 19:24:10,0,0,0,0.101652,0,4.821626,4.1122434,0,0.0508906
2026-02-13 19:24:05,0,0,0,0.0507614,0,5.4298224,4.6193102,0,0
2026-02-13 19:24:00,0,0,0,0.0505051,0,4.4543074,3.8483776,0,0
2026-02-13 19:23:55,0,0,0,0.1013943,0,4.9655232,4.3581786,0,0.0508906
2026-02-13 19:23:50,0,0,0,0.2031815,0,4.670718,4.1172468,0,13.54922
2026-02-13 19:23:45,0,0,0,0.1010101,0,4.8561044,4.1501766,0,2.278481
2026-02-13 19:23:40,0,0,0,0.1015235,0,4.714688,4.4099838,0,1.1195928
2026-02-13 19:23:35,0,0,0,0.0506329,0,5.5544062,4.5921136,0,0.0508906
2026-02-13 19:23:30,0,0,0,0.0502513,0,8.767783,4.4343714,0,0.05
2026-02-13 19:23:25,0,0,0,0.1008842,0,5.2183,4.4099288,0,0.2017683
2026-02-13 19:23:20,0,0,0,0.1006304,0,5.113122,4.149408,0,0
2026-02-13 19:23:15,0,0,0,0.0505051,0,4.5691528,4.21175,0,0.0508906
2026-02-13 19:23:10,0,0,0,0,0,6.1331768,4.1067026,0,0.3045987
2026-02-13 19:23:05,0,0,0,0.1518987,0,4.817721,4.0061776,0,0
2026-02-13 19:23:00,0,0,0,0.2016392,0,5.1871608,3.726325,0,0
2026-02-13 19:22:55,0,0,0,0.1520273,0,5.0719176,4.6665974,0,0.2025316
2026-02-13 19:22:50,0,0,0,0.0505051,0,4.4996436,4.0488082,0,0
2026-02-13 19:22:45,0,0,0,0.0502513,0,4.9101182,4.1549352,0,0.0508906
2026-02-13 19:22:40,0,0,0,0.1520408,0,5.0652742,4.4586416,0,0
2026-02-13 19:22:35,0,0,0,0.1020515,0,6.218627,4.53282,0,0.4053427
2026-02-13 19:22:30,0,0,0,0.0503778,0,4.9983676,4.24066,0,0.4037866
