worker,tcp_mean_mbps,tcp_peak_mbps,ping_mean_ms,ping_p95_ms,loss_pct
pi03,366.1246111306858,389.77565921013866,1.0827,1.9705,0.0
pi04,342.8880298614071,377.45604259839433,1.2299,1.9240000000000002,0.0
yhsensorpi,287.70208647354497,366.99608758279857,1.4522,2.8735,0.0
