time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2026-02-13 19:22:05,0,0,0,0.0511509,0,5.2326422,4.366953,0,0.1516462
2026-02-13 19:22:00,0,0,0,0.05,0,5.0508886,4.3475902,0,0.6060683
2026-02-13 19:21:55,0,0,0,0.1520279,0,5.4673562,3.492535,0,0.1515152
2026-02-13 19:21:50,0,0,0,0.1017812,0,4.5681784,3.9573628,0,0.7088608
2026-02-13 19:21:45,0,0,0,0,0,4.8575394,4.0472636,0,0.0503778
2026-02-13 19:21:40,0,0,0,0.0511509,0,8.2086918,4.3751406,0,0.909091
2026-02-13 19:21:35,0,0,0,0.1515171,0,4.9001024,4.34569,0,0.1008842
2026-02-13 19:21:30,0,0,0,0.1012658,0,4.7233484,4.8761548,0,0.7596222
2026-02-13 19:21:25,0,0,0,0.1020415,0,4.9259826,4.2107862,0,0.2035624
2026-02-13 19:21:20,0,0,0,0.0510204,0,5.1312212,4.3164466,0,1.1730819
2026-02-13 19:21:15,0,0,0,0.1015228,0,5.013371,4.0510666,0,1.475311
2026-02-13 19:21:10,0,0,0,0.0503778,0,5.7715716,4.4002454,0,0.3040551
2026-02-13 19:21:05,0,0,0,0.1011457,0,5.7556408,4.6925248,0,0.3015139
2026-02-13 19:21:00,0,0,0,0.1013943,0,5.1708128,4.462201,0,0.3049626
2026-02-13 19:20:55,0,0,0,0.1516488,0,4.5015088,3.8434004,0,0.0508906
2026-02-13 19:20:50,0,0,0,0.0510204,0,5.6242038,4.2029928,0,0
2026-02-13 19:20:45,0,0,0,0.3036703,0,5.06228,4.7595072,0,0.2026602
2026-02-13 19:20:40,0,0,0,0.1011393,0,4.9955754,4.2251804,0,0.2539402
2026-02-13 19:20:35,0,0,0,0,0,5.0575214,4.55143,0,0.2030457
2026-02-13 19:20:30,0,0,0,0.1011457,0,5.2868194,4.7748252,0,0.3046176
2026-02-13 19:20:25,0,0,0,0.1008842,0,5.2007866,4.4932002,0,0.3037975
2026-02-13 19:20:20,0,0,0,0.1011418,0,5.9732014,4.810776,0,0.2024077
2026-02-13 19:20:15,0,0,0,0.0506329,0,4.936494,4.8358518,0,0.4042961
2026-02-13 19:20:10,0,0,0,0.1,0,6.3756512,4.650372,0,22.4885155
2026-02-13 19:20:05,0,0,0,0.1013956,0,4.9144202,4.1032616,0,13.0152354
2026-02-13 19:20:00,0,0,0,0,0,4.4640968,4.1066754,0,0.2030496
2026-02-13 19:19:55,0,0,0,0.1511342,0,5.3448976,4.6380806,0,0
2026-02-13 19:19:50,0,0,0,0.1005127,0,4.550275,4.6014216,0,0.0505051
2026-02-13 19:19:45,0,0,0,0.1517709,0,4.663264,4.3585628,0,0.0505051
2026-02-13 19:19:40,0,0,0,0.101138,0,6.901887,4.1155234,0,0
2026-02-13 19:19:35,0,0,0,0.1003804,0,5.4269158,4.3107674,0,1.3772929
2026-02-13 19:19:30,0,0,0,0.1510082,0,4.8815286,4.681786,0,0.0501253
2026-02-13 19:19:25,0,0,0,0.1008829,0,5.0685514,4.7657704,0,0.3571428
2026-02-13 19:19:20,0,0,0,0.0508906,0,5.403046,4.241271,0,0.1513912
2026-02-13 19:19:15,0,0,0,0,0,5.2519878,4.4968166,0,0.1010127
2026-02-13 19:19:10,0,0,0,0.1011393,0,5.4608558,4.5973984,0,0
2026-02-13 19:19:05,0,0,0,0.1517709,0,5.5407754,3.9662246,0,0.0511509
2026-02-13 19:19:00,0,0,0,0.0505051,0,4.3161256,3.9558982,0,0
2026-02-13 19:18:55,0,0,0,0.1520324,0,5.476178,4.618247,0,0.2026654
2026-02-13 19:18:50,0,0,0,0.1007614,0,5.3635362,4.6493316,0,0.0505051
2026-02-13 19:18:45,0,0,0,0.0501253,0,5.098212,4.1936588,0,0.0505051
2026-02-13 19:18:40,0,0,0,0,0,5.1359454,4.2347274,0,1.1046558
2026-02-13 19:18:35,0,0,0,0.1008829,0,5.033594,4.2178872,0,0.1530612
2026-02-13 19:18:30,0,0,0,0.1006329,0,5.4182602,4.3010264,0,0.0511509
2026-02-13 19:18:25,0,0,0,0.1010101,0,4.7456212,4.040072,0,0
2026-02-13 19:18:20,0,0,0,0.1015235,0,5.271815,4.8668672,0,0.2035623
2026-02-13 19:18:15,0,0,0,0.0510204,0,4.8729254,4.5672062,0,0.3038013
2026-02-13 19:18:10,0,0,0,0.0501253,0,5.5510964,4.1895894,0,0
2026-02-13 19:18:05,0,0,0,0.1015255,0,4.9480222,4.2907844,0,0.1511335
2026-02-13 19:18:00,0,0,0,0.0503778,0,5.3484616,4.237344,0,0.1007557
2026-02-13 19:17:55,0,0,0,0.1522849,0,5.8414546,3.810472,0,0.1524134
2026-02-13 19:17:50,0,0,0,0.0511509,0,4.9046754,4.0427244,0,0.2017683
2026-02-13 19:17:45,0,0,0,0.1010127,0,5.6658496,5.0100414,0,0.1522843
2026-02-13 19:17:40,0,0,0,0.1508861,0,8.1364334,4.3912512,0,0.0508906
2026-02-13 19:17:35,0,0,0,0.0502513,0,5.3097526,4.6030522,0,0
2026-02-13 19:17:30,0,0,0,0.0502513,0,4.842341,4.893096,0,0.1008867
2026-02-13 19:17:25,0,0,0,0.1013956,0,5.8483078,5.492686,0,0.0510204
2026-02-13 19:17:20,0,0,0,0.1012665,0,7.0217878,4.2442576,0,0.1013943
2026-02-13 19:17:15,0,0,0,0.1517722,0,5.5310818,4.2105296,0,0.3578251
2026-02-13 19:17:10,0,0,0,0.0503778,0,5.2745506,3.9040624,0,0.3574038
