time,received,sent
2026-02-13 19:22:05,0,0
2026-02-13 19:22:00,0,0
2026-02-13 19:21:55,0,0
2026-02-13 19:21:50,0,0
2026-02-13 19:21:45,0,0
2026-02-13 19:21:40,0,0
2026-02-13 19:21:35,0,0
2026-02-13 19:21:30,0,0
2026-02-13 19:21:25,0,0
2026-02-13 19:21:20,0,0
2026-02-13 19:21:15,0,0
2026-02-13 19:21:10,0,0
2026-02-13 19:21:05,0,0
2026-02-13 19:21:00,0,0
2026-02-13 19:20:55,0,0
2026-02-13 19:20:50,0,0
2026-02-13 19:20:45,0,0
2026-02-13 19:20:40,0,0
2026-02-13 19:20:35,0,0
2026-02-13 19:20:30,0,0
2026-02-13 19:20:25,0,0
2026-02-13 19:20:20,0,0
2026-02-13 19:20:15,0,0
2026-02-13 19:20:10,0,0
2026-02-13 19:20:05,0,0
2026-02-13 19:20:00,0,0
2026-02-13 19:19:55,0,0
2026-02-13 19:19:50,0,0
2026-02-13 19:19:45,0,0
2026-02-13 19:19:40,0,0
2026-02-13 19:19:35,0,0
2026-02-13 19:19:30,0,0
2026-02-13 19:19:25,0,0
2026-02-13 19:19:20,0,0
2026-02-13 19:19:15,0,0
2026-02-13 19:19:10,0,0
2026-02-13 19:19:05,0,0
2026-02-13 19:19:00,0,0
2026-02-13 19:18:55,0,0
2026-02-13 19:18:50,0,0
2026-02-13 19:18:45,0,0
2026-02-13 19:18:40,0,0
2026-02-13 19:18:35,0,0
2026-02-13 19:18:30,0,0
2026-02-13 19:18:25,0,0
2026-02-13 19:18:20,0,0
2026-02-13 19:18:15,0,0
2026-02-13 19:18:10,0,0
2026-02-13 19:18:05,0,0
2026-02-13 19:18:00,0,0
2026-02-13 19:17:55,0,0
2026-02-13 19:17:50,0,0
2026-02-13 19:17:45,0,0
2026-02-13 19:17:40,0,0
2026-02-13 19:17:35,0,0
2026-02-13 19:17:30,0,0
2026-02-13 19:17:25,0,0
2026-02-13 19:17:20,0,0
2026-02-13 19:17:15,0,0
2026-02-13 19:17:10,0,0
