time,utilization
2026-02-13 19:22:05,1.2
2026-02-13 19:22:00,3.4
2026-02-13 19:21:55,1
2026-02-13 19:21:50,3
2026-02-13 19:21:45,0.4
2026-02-13 19:21:40,4.2
2026-02-13 19:21:35,0.6
2026-02-13 19:21:30,3.4
2026-02-13 19:21:25,2.6
2026-02-13 19:21:20,5
2026-02-13 19:21:15,6.6
2026-02-13 19:21:10,2
2026-02-13 19:21:05,6
2026-02-13 19:21:00,2.6
2026-02-13 19:20:55,2.2
2026-02-13 19:20:50,0
2026-02-13 19:20:45,2.6
2026-02-13 19:20:40,2.8
2026-02-13 19:20:35,3.8
2026-02-13 19:20:30,3
2026-02-13 19:20:25,4.8
2026-02-13 19:20:20,1.8
2026-02-13 19:20:15,49.8
2026-02-13 19:20:10,38.2
2026-02-13 19:20:05,26.6
2026-02-13 19:20:00,2
2026-02-13 19:19:55,1
2026-02-13 19:19:50,1.2
2026-02-13 19:19:45,0.2
2026-02-13 19:19:40,2
2026-02-13 19:19:35,6
2026-02-13 19:19:30,0.4
2026-02-13 19:19:25,1.6
2026-02-13 19:19:20,1.2
2026-02-13 19:19:15,2.6
2026-02-13 19:19:10,0.4
2026-02-13 19:19:05,1.6
2026-02-13 19:19:00,0
2026-02-13 19:18:55,2.6
2026-02-13 19:18:50,0.2
2026-02-13 19:18:45,0.8
2026-02-13 19:18:40,4.8
2026-02-13 19:18:35,2.8
2026-02-13 19:18:30,0.6
2026-02-13 19:18:25,2
2026-02-13 19:18:20,1.4
2026-02-13 19:18:15,2.8
2026-02-13 19:18:10,0
2026-02-13 19:18:05,7.6
2026-02-13 19:18:00,0.6
2026-02-13 19:17:55,1
2026-02-13 19:17:50,4.4
2026-02-13 19:17:45,0.8
2026-02-13 19:17:40,0.2
2026-02-13 19:17:35,0.2
2026-02-13 19:17:30,3.8
2026-02-13 19:17:25,0.2
2026-02-13 19:17:20,0.8
2026-02-13 19:17:15,11.2
2026-02-13 19:17:10,2.8
