time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2026-02-13 19:32:45,0,0,0,0.2024135,0,5.3333118,5.2325606,0,0.0502513
2026-02-13 19:32:40,0,0,0,0.0505051,0,5.807519,4.3405542,0,0
2026-02-13 19:32:35,0,0,0,0.0503778,0,4.519423,4.2152406,0,0.0506329
2026-02-13 19:32:30,0,0,0,0.1008829,0,5.363,4.3491526,0,0.0503778
2026-02-13 19:32:25,0,0,0,0.1005051,0,5.518656,4.6600392,0,0.05
2026-02-13 19:32:20,0,0,0,0.0507614,0,6.4283588,4.4507494,0,0.0511509
2026-02-13 19:32:15,0,0,0,0.101138,0,4.817864,4.3610098,0,0
2026-02-13 19:32:10,0,0,0,0.0502513,0,5.4155716,4.54877,0,0.0508906
2026-02-13 19:32:05,0,0,0,0.0510204,0,5.1904052,4.4763732,0,0
2026-02-13 19:32:00,0,0,0,0.1014074,0,5.1312236,4.422128,0,0.0512821
2026-02-13 19:31:55,0,0,0,0,0,4.9024594,4.1971362,0,0.0501253
2026-02-13 19:31:50,0,0,0,0.1013943,0,4.7519516,4.9549982,0,0.0508906
2026-02-13 19:31:45,0,0,0,0.1019123,0,4.8799226,4.1184818,0,0.0511509
2026-02-13 19:31:40,0,0,0,0.0508906,0,4.510063,3.7986202,0,0.1005025
2026-02-13 19:31:35,0,0,0,0.0510204,0,4.6769316,4.0727032,0,0.0503778
2026-02-13 19:31:30,0,0,0,0.101138,0,5.2142042,4.4052296,0,0
2026-02-13 19:31:25,0,0,0,0.1015235,0,7.9860718,4.000341,0,0.0503778
2026-02-13 19:31:20,0,0,0,0.1005032,0,4.696939,4.1420098,0,4.4531575
2026-02-13 19:31:15,0,0,0,0.25343,0,5.1711542,4.8678578,0,5.321318
2026-02-13 19:31:10,0,0,0,0.2034398,0,5.9905442,4.2592938,0,1.3131314
2026-02-13 19:31:05,0,0,0,0.1010108,0,5.5536074,5.1516114,0,1.8546366
2026-02-13 19:31:00,0,0,0,0,0,5.0066632,3.9417014,0,1.3705584
2026-02-13 19:30:55,0,0,0,0.0506329,0,4.7155646,4.4116376,0,3.7537816
2026-02-13 19:30:50,0,0,0,0,0,4.5563778,4.097963,0,0.607595
2026-02-13 19:30:45,0,0,0,0.0503778,0,4.8515794,4.3981804,0,4.4444451
2026-02-13 19:30:40,0,0,0,0.0507614,0,5.683267,4.4644728,0,0
2026-02-13 19:30:35,0,0,0,0.0505051,0,4.859643,4.4027968,0,0.0507614
2026-02-13 19:30:30,0,0,0,0.1008829,0,5.5471204,3.8356428,0,0.0501253
2026-02-13 19:30:25,0,0,0,0.1021753,0,4.988226,4.3729614,0,0.0507614
2026-02-13 19:30:20,0,0,0,0.0501253,0,4.9547286,4.248664,0,0
2026-02-13 19:30:15,0,0,0,0.0505051,0,5.1968198,4.7436736,0,0.1511335
2026-02-13 19:30:10,0,0,0,0.2013905,0,5.596704,4.3359172,0,2.1308289
2026-02-13 19:30:05,0,0,0,0.0508906,0,5.5184402,4.5053746,0,0
2026-02-13 19:30:00,0,0,0,0.05,0,4.5507612,4.2470656,0,0
2026-02-13 19:29:55,0,0,0,0.1008842,0,4.5200086,3.7570042,0,0
2026-02-13 19:29:50,0,0,0,0,0,5.0652232,4.4053028,0,0.0506329
2026-02-13 19:29:45,0,0,0,0.1003804,0,4.7674102,4.6171474,0,0
2026-02-13 19:29:40,0,0,0,0.1006291,0,4.8061858,3.9452612,0,0.0505051
2026-02-13 19:29:35,0,0,0,0.0503778,0,5.6140562,5.006175,0,0.7052896
2026-02-13 19:29:30,0,0,0,0.1008906,0,4.6086004,4.0495374,0,0.0510204
2026-02-13 19:29:25,0,0,0,0.0502513,0,8.2875864,4.243065,0,0
2026-02-13 19:29:20,0,0,0,0.0506329,0,5.3095512,4.2984272,0,0.0505051
2026-02-13 19:29:15,0,0,0,0.1015235,0,4.518605,4.2131296,0,0
2026-02-13 19:29:10,0,0,0,0.1524394,0,5.6303808,4.361984,0,0
2026-02-13 19:29:05,0,0,0,0.1513931,0,4.9973744,4.2947592,0,0.1005025
2026-02-13 19:29:00,0,0,0,0.1011393,0,5.832377,3.8022842,0,0
2026-02-13 19:28:55,0,0,0,0.101138,0,4.7996876,4.7493122,0,0
2026-02-13 19:28:50,0,0,0,0.1010159,0,5.0529102,3.8893762,0,0
2026-02-13 19:28:45,0,0,0,0.0507614,0,5.0254082,4.6703338,0,0.0506329
2026-02-13 19:28:40,0,0,0,0.1008829,0,4.8013162,3.9429364,0,0.0503778
2026-02-13 19:28:35,0,0,0,0.0511509,0,4.6821488,5.2418524,0,0
2026-02-13 19:28:30,0,0,0,0.0503778,0,5.8969572,4.4861052,0,0
2026-02-13 19:28:25,0,0,0,0.2017684,0,4.905195,4.2481026,0,0.1511354
2026-02-13 19:28:20,0,0,0,0.1013943,0,4.7625946,4.255494,0,0.0507614
2026-02-13 19:28:15,0,0,0,0.0508906,0,4.4859258,4.5365416,0,0.0501253
2026-02-13 19:28:10,0,0,0,0.0507614,0,5.0480792,4.1286388,0,0
2026-02-13 19:28:05,0,0,0,0.0506329,0,4.5112126,4.4084044,0,0.1013943
2026-02-13 19:28:00,0,0,0,0.0501253,0,4.7917984,4.5405474,0,0
2026-02-13 19:27:55,0,0,0,0.0502513,0,4.9419044,4.4365506,0,0
2026-02-13 19:27:50,0,0,0,0.1525452,0,5.333662,4.2694632,0,0.0506329
