time,utilization
2026-02-13 19:32:45,0.6
2026-02-13 19:32:40,1
2026-02-13 19:32:35,0.4
2026-02-13 19:32:30,0
2026-02-13 19:32:25,0.4
2026-02-13 19:32:20,1.6
2026-02-13 19:32:15,0.2
2026-02-13 19:32:10,0
2026-02-13 19:32:05,1
2026-02-13 19:32:00,0.2
2026-02-13 19:31:55,0.2
2026-02-13 19:31:50,4
2026-02-13 19:31:45,0.2
2026-02-13 19:31:40,0.6
2026-02-13 19:31:35,0.6
2026-02-13 19:31:30,0
2026-02-13 19:31:25,1.4
2026-02-13 19:31:20,22.4
2026-02-13 19:31:15,24.4
2026-02-13 19:31:10,6
2026-02-13 19:31:05,21.4
2026-02-13 19:31:00,8.4
2026-02-13 19:30:55,16.6
2026-02-13 19:30:50,5.2
2026-02-13 19:30:45,24.2
2026-02-13 19:30:40,0.6
2026-02-13 19:30:35,0.6
2026-02-13 19:30:30,0
2026-02-13 19:30:25,0
2026-02-13 19:30:20,0
2026-02-13 19:30:15,2.8
2026-02-13 19:30:10,10.8
2026-02-13 19:30:05,2.4
2026-02-13 19:30:00,0
2026-02-13 19:29:55,0
2026-02-13 19:29:50,0.4
2026-02-13 19:29:45,0.4
2026-02-13 19:29:40,0.6
2026-02-13 19:29:35,5.2
2026-02-13 19:29:30,0.2
2026-02-13 19:29:25,0.2
2026-02-13 19:29:20,0.2
2026-02-13 19:29:15,0
2026-02-13 19:29:10,0.2
2026-02-13 19:29:05,0.8
2026-02-13 19:29:00,1.2
2026-02-13 19:28:55,2.8
2026-02-13 19:28:50,0
2026-02-13 19:28:45,0.2
2026-02-13 19:28:40,0.4
2026-02-13 19:28:35,0.2
2026-02-13 19:28:30,0.2
2026-02-13 19:28:25,4.6
2026-02-13 19:28:20,0.4
2026-02-13 19:28:15,0
2026-02-13 19:28:10,0.4
2026-02-13 19:28:05,0.4
2026-02-13 19:28:00,0
2026-02-13 19:27:55,0.4
2026-02-13 19:27:50,2.2
